name,email,phone,address,experience_years,rating,popularity,accessibility,reliability,legal_issues
"Minhas, Singh and Raju Foundation",shankarkrisha@shanker.com,2573996592,"751, Hayer Path, Tenali 803198",36,3.38,medium,moderate,low,cyber_crime|cyber_bullying
Nadig PLC Foundation,aarushkhatri@som.com,+911399038730,"16/858, Pillay, Kadapa 986423",18,4.13,low,moderate,medium,property_dispute|dowry
"Baral, Taneja and Sibal Foundation",sandalmadhav@vyas-agarwal.info,+918519158868,"10/454, Mandal, Barasat-946712",10,4.99,low,easy,high,rent_eviction|workplace_discrimination|consumer_rights
Borra-Oommen Foundation,fradogill@thakur.net,01834566725,"48/38, Dutta Marg, Aligarh 565668",38,3.4,low,difficult,medium,labor_rights_violation|bribery_corruption|cyber_bullying|FIR_denial
Mahajan LLC Foundation,isoni@behl.com,00670215898,"H.No. 354, Gokhale Chowk, Mysore-966753",30,4.52,medium,easy,high,bribery_corruption|rent_eviction|FIR_denial
Mohanty Ltd Foundation,wdhar@chowdhury.com,+915240076148,"H.No. 30, Gala Zila, Ambala 259478",8,4.76,medium,moderate,medium,bribery_corruption|domestic_violence|rent_eviction
Roy-Mall Foundation,yash84@mishra.com,8503577555,"41/800, Padmanabhan Nagar, Parbhani-870859",4,3.76,high,easy,low,property_dispute|FIR_denial
Tara-Narayanan Foundation,samar35@raghavan.net,01488722624,"285, Dash, Unnao 807936",15,3.55,low,difficult,high,cyber_bullying|workplace_discrimination|rent_eviction
Behl-Bhardwaj Foundation,ladlibains@das-dara.com,9759808605,"30/25, Rattan Marg, Gulbarga 495933",6,4.28,medium,easy,low,property_dispute|child_custody|workplace_discrimination
"Chakraborty, Tripathi and Bedi Foundation",balhaarramachandran@jha-nayak.com,02253561103,"01/81, Devan Path, Jamnagar-211282",2,4.76,low,difficult,high,bribery_corruption
Karnik-Raval Foundation,wprasad@dara.biz,+918084586771,"84/061, Johal Chowk, Imphal-178676",13,3.56,medium,easy,medium,FIR_denial|consumer_rights|property_dispute
Balay-Bora Foundation,owen53@kala-bath.com,00896742273,"H.No. 65, Bahl, Durgapur 768193",6,3.28,medium,moderate,low,consumer_rights|rent_eviction|property_dispute
Bhatt-Divan Foundation,christopherkhatri@keer.com,3436474200,"15/64, Issac Marg, Burhanpur-925876",20,4.12,high,moderate,high,property_dispute|domestic_violence|consumer_rights|rent_eviction
Sur-Kalla Foundation,dhritirao@guha.org,9698723739,"H.No. 825, Dara Nagar, Durg 589381",15,3.17,medium,difficult,high,child_custody|workplace_discrimination|harassment
Tiwari-Aurora Foundation,araman@dara.com,09341109199,"46, Bajwa Nagar, Karnal 786641",41,4.95,high,easy,medium,harassment|consumer_rights|child_custody|cyber_bullying
"Rai, Dutt and Ghose Foundation",vaishnavisalvi@subramaniam.com,0495676912,"37/752, Kashyap Path, Nangloi Jat 783259",2,4.88,low,difficult,low,property_dispute|consumer_rights|workplace_discrimination|bribery_corruption
Bhasin PLC Foundation,omajahayer@chaudhuri-jain.biz,1980584736,"H.No. 60, Parekh Path, Tadepalligudem-070819",50,4.59,medium,easy,medium,cyber_crime|child_custody|domestic_violence|consumer_rights
"Bhatti, Dave and Sant Foundation",anita42@pradhan.net,1649564757,"H.No. 948, Kapoor Ganj, Khammam-540397",12,4.87,high,difficult,low,cyber_bullying|domestic_violence|harassment
Mani Inc Foundation,devika15@dhillon-singh.com,04613241015,"43, Sibal, Erode 936401",18,4.79,low,moderate,low,dowry|bribery_corruption|domestic_violence
Talwar PLC Foundation,irasarma@seth.info,+915186101098,"53, Basak Circle, Giridih 608984",30,3.77,low,difficult,low,property_dispute|harassment
"Parekh, Baral and Krish Foundation",zbir@bakshi-bhasin.com,09263961118,"H.No. 968, Halder Marg, Chinsurah-005913",34,4.95,high,easy,low,bribery_corruption
Dugar LLC Foundation,faqid08@mander-amble.com,+916029390141,"08/30, Gera, Danapur 576750",17,3.14,medium,moderate,low,cyber_bullying
Nair-Karpe Foundation,bahadurjit14@sibal.com,+916960121533,"H.No. 724, Sekhon Street, Anand 252169",49,3.65,high,moderate,low,cyber_crime|cyber_bullying|property_dispute|rent_eviction
Narayanan and Sons Foundation,fhari@chauhan-dass.com,2311318227,"42/405, Chauhan Ganj, Kishanganj-147493",36,3.03,medium,difficult,low,property_dispute|dowry|cyber_crime
Vohra Inc Foundation,banjeet54@padmanabhan.com,1887928022,"73/148, Hayer Marg, Pudukkottai 767980",50,3.41,medium,difficult,medium,harassment|labor_rights_violation|workplace_discrimination|child_custody
Narain-Sengupta Foundation,hemani12@gola.com,1418034056,"H.No. 97, Aggarwal Street, Nanded-588463",44,3.74,high,moderate,low,workplace_discrimination|rent_eviction|consumer_rights
Zacharia-Boase Foundation,singhalharrison@ramanathan.com,08675408988,"H.No. 05, Morar, Korba 942108",38,3.89,low,easy,medium,FIR_denial|cyber_bullying
"Kulkarni, Sunder and Bera Foundation",barkhahayre@sethi.com,+918313321582,"11/689, Patla Path, Nizamabad 249353",1,3.82,medium,easy,low,child_custody
"Solanki, Murthy and Ganesan Foundation",xmahal@bahl.com,03388502138,"H.No. 13, Dhingra Path, Bellary 311896",22,3.8,low,easy,low,bribery_corruption
Dora LLC Foundation,kvarma@karan.net,02510946583,"H.No. 95, Bera Zila, Fatehpur 130811",25,4.1,low,moderate,high,consumer_rights|dowry|FIR_denial
"Vala, Sur and Subramanian Foundation",oliver87@wali.org,08512559028,"05/67, Sen Nagar, Nashik-355043",15,4.48,low,difficult,high,rent_eviction|workplace_discrimination
Yogi-Upadhyay Foundation,meghanaparikh@loke.com,3605237895,"48/699, Dewan Street, Allahabad 379845",2,3.6,medium,easy,high,child_custody|cyber_crime|property_dispute
"Halder, Banik and Solanki Foundation",dgupta@hayre.com,+913434110794,"47/92, Bedi Circle, Rampur-822939",3,3.53,medium,moderate,medium,cyber_bullying|FIR_denial|workplace_discrimination
"Ratta, Venkataraman and Pau Foundation",taraaayush@ramachandran.info,2733021604,"H.No. 660, Koshy, Panvel-206226",39,3.1,medium,moderate,high,FIR_denial|workplace_discrimination|property_dispute|cyber_bullying
"Bajwa, Wason and Vig Foundation",netra71@wagle.com,4735495165,"46, Das Ganj, Nandyal-500219",9,4.85,low,difficult,high,cyber_crime|consumer_rights
Rao-Dutta Foundation,vritti37@mallick.com,01314553768,"996, Yogi, Khora  074656",33,3.22,medium,difficult,low,FIR_denial|cyber_crime|child_custody
"Venkatesh, Gopal and Ramakrishnan Foundation",jeet94@babu-chawla.biz,+912625597856,"34/226, Kapur Chowk, Suryapet 265448",18,3.68,medium,moderate,medium,property_dispute
Sen-Sama Foundation,jvarughese@shankar.biz,1905778037,"H.No. 58, Garde, Vasai-Virar 624526",34,4.16,medium,easy,medium,cyber_crime|harassment
Pant-Gola Foundation,puriishita@krishnamurthy.org,07499339056,"06, Sachar Ganj, Karimnagar-000886",15,3.74,medium,easy,medium,dowry|workplace_discrimination
Barad-Chanda Foundation,kbhattacharyya@reddy-iyengar.info,3543726001,"84/81, Tripathi Path, Bhiwani 016327",38,3.99,medium,moderate,medium,domestic_violence|labor_rights_violation|child_custody|dowry
Talwar-Sachar Foundation,fkapur@lad.biz,+918829981952,"89/25, Majumdar, Katihar 088153",37,4.97,low,easy,medium,domestic_violence
Goel-Narang Foundation,kabirmahal@muni.net,+910671345627,"H.No. 175, Deshmukh Marg, Kanpur-322988",34,3.92,medium,easy,low,workplace_discrimination|bribery_corruption|consumer_rights
"Manda, Borra and Chaudhuri Foundation",ymannan@kade-patil.biz,5096920881,"86, Sachar Path, Ongole-881838",50,3.35,high,difficult,medium,rent_eviction|property_dispute
"Bhalla, Jaggi and Bedi Foundation",udash@kashyap.com,+918383205086,"H.No. 098, Goswami Marg, Dhule-763583",19,3.13,low,moderate,low,harassment|rent_eviction|workplace_discrimination
"Ben, Yohannan and Oommen Foundation",rachanakalita@mukhopadhyay.net,2948528669,"H.No. 407, Garg, Jalandhar-157734",6,4.66,high,moderate,high,property_dispute|cyber_bullying
"Dora, Aurora and Dugal Foundation",damininayak@buch.net,+912108395269,"15, Basak Street, Tadepalligudem-471294",24,3.37,low,easy,medium,domestic_violence
"Virk, Purohit and Bumb Foundation",omishasama@dani-tailor.net,3309508013,"671, Gala Street, Siwan-952635",24,3.78,low,difficult,high,workplace_discrimination|cyber_bullying|child_custody
"Venkatesh, Bhasin and Tata Foundation",rajeshri61@pal.com,+913301629810,"45/28, Ray Path, Bilaspur 691522",1,3.23,low,moderate,medium,FIR_denial
Ramakrishnan-Jain Foundation,daniellalla@patel.com,+912699073416,"342, Mukherjee Circle, Chandigarh-717714",41,3.87,low,easy,medium,consumer_rights|harassment|rent_eviction
Contractor Group Foundation,mitali02@savant.com,07845574271,"49/04, Divan Circle, Sultan Pur Majra 064343",34,4.19,medium,moderate,high,labor_rights_violation|rent_eviction|cyber_bullying|bribery_corruption
Ghose and Sons Foundation,riya29@narasimhan-pall.net,06973704110,"H.No. 99, Chaudhuri Marg, Faridabad-417090",18,4.88,high,difficult,low,labor_rights_violation
Johal-Pingle Foundation,abeerbasak@sant.org,+918406839249,"03/313, Ranganathan Marg, Raiganj-586274",23,4.13,medium,easy,high,consumer_rights|domestic_violence|bribery_corruption
Kumer-Arya Foundation,waglepallavi@rajagopal.com,+910623260508,"H.No. 054, Bhat Chowk, Agartala-178892",44,4.84,low,difficult,low,property_dispute|harassment|dowry
"Doshi, Khalsa and Soni Foundation",yagnesh99@narayan-khatri.com,1325664509,"04/825, Subramaniam Street, Surendranagar Dudhrej 147118",40,4.64,medium,moderate,high,dowry|rent_eviction|domestic_violence|FIR_denial
"Bhandari, Mallick and Edwin Foundation",bhattiudyati@golla-karnik.com,06822364845,"57/50, Devan, Sagar 123241",49,4.19,high,moderate,medium,cyber_crime|workplace_discrimination|harassment
"Doctor, Kumar and Bhagat Foundation",vohradhriti@mody.com,9630263703,"H.No. 52, Mahajan Path, Allahabad-474373",4,3.63,low,easy,medium,workplace_discrimination|rent_eviction|harassment|cyber_crime
"Sundaram, Mittal and Yohannan Foundation",jhalaksundaram@kant.org,2310179987,"H.No. 770, Badami Street, Bhatpara 711767",5,3.62,medium,difficult,high,cyber_bullying|rent_eviction|consumer_rights|workplace_discrimination
Oommen-Shankar Foundation,araghavan@mandal.com,06909015976,"H.No. 212, Ben Nagar, Bhopal-686859",12,3.5,medium,difficult,low,consumer_rights
"Edwin, Bora and Mandal Foundation",srivastavamadhav@badal.com,08721757185,"572, Saha Road, Tezpur 186458",12,4.94,high,easy,low,domestic_violence
Minhas-Srinivas Foundation,aadhyadube@luthra-bhatt.com,07136263886,"36/03, Kanda Ganj, Nashik 123071",33,4.94,medium,difficult,high,property_dispute
Sandal-Mall Foundation,menonreva@baria-ganguly.com,7010893773,"70/807, Deshpande Road, Cuttack 090716",15,4.98,low,difficult,low,domestic_violence|consumer_rights|labor_rights_violation
Sarna-Naidu Foundation,pbhatnagar@tara.org,02907421113,"37/73, Sami Street, Bareilly-717485",35,3.9,low,difficult,medium,bribery_corruption
Das-Nagi Foundation,bpandya@deol-goel.com,+917510735131,"32, Dora Nagar, Hyderabad-986743",11,3.85,high,easy,low,child_custody
Tara Group Foundation,sarmakashvi@narula.com,+913230981913,"87, Narayan Ganj, Bilaspur 950498",34,4.99,low,easy,medium,rent_eviction|dowry|bribery_corruption|harassment
"Bora, Basak and Arora Foundation",ipurohit@dixit.info,+916612862651,"45/75, Chadha Zila, Chapra 761439",47,3.63,high,difficult,medium,workplace_discrimination|cyber_bullying|harassment|domestic_violence
Dhar PLC Foundation,sehgaljasmit@mitra-rajan.com,+910189992209,"24/917, Jayaraman Ganj, Raipur 485886",27,4.46,medium,difficult,low,workplace_discrimination
Pillai Group Foundation,froy@deol.com,00194808718,"92/343, Wali Path, Avadi-017128",46,3.8,high,difficult,medium,property_dispute
"Hora, Gole and Atwal Foundation",ahujamaanav@ravi.info,3043640769,"62, Thakur Road, Silchar 958078",38,3.15,medium,difficult,high,property_dispute|domestic_violence
"Kulkarni, Soman and Sarma Foundation",rgulati@kara.com,5545000476,"95/347, Dalal Zila, Morbi 268668",4,3.13,high,difficult,high,bribery_corruption|domestic_violence|cyber_bullying|cyber_crime
Khurana-Bora Foundation,nadkarnisanya@mangat.com,6609116649,"H.No. 84, Rajagopal Road, Nellore 640845",22,4.88,high,difficult,low,bribery_corruption|cyber_crime|harassment
"Babu, Dhawan and Edwin Foundation",sampathabeer@badal-lalla.info,+918751958427,"409, Rana Nagar, Thoothukudi-207325",23,3.29,low,moderate,high,domestic_violence
Deo Inc Foundation,bsami@sangha.biz,+917886774813,"79/30, Hayre Street, Vadodara-534502",35,4.31,high,easy,high,bribery_corruption
Dugar LLC Foundation,horacharvi@bhatnagar-sahota.com,04703973007,"085, Yogi Chowk, Bhopal-971688",47,3.36,low,moderate,medium,property_dispute|domestic_violence
"Magar, Seth and Dave Foundation",deepa69@uppal.com,3507775130,"H.No. 900, Dani Path, Shahjahanpur-421357",11,3.38,high,moderate,high,bribery_corruption|cyber_crime|workplace_discrimination|consumer_rights
Mittal-Pandya Foundation,sameshkapur@gole.info,01210801379,"49/05, Bedi Chowk, Katihar-295998",4,3.51,low,difficult,high,child_custody
Chand-Anne Foundation,ssethi@kadakia-baral.info,+912921968485,"H.No. 53, Dube, Pallavaram 312754",37,4.98,high,easy,high,consumer_rights|domestic_violence|cyber_bullying|harassment
"Kalla, Hayer and Doctor Foundation",balasamarth@bandi.com,02679169933,"H.No. 790, Padmanabhan Circle, Adoni-245107",15,4.25,medium,moderate,low,cyber_bullying|cyber_crime|harassment|dowry
"Dugar, Madan and Mangat Foundation",dalbir61@vaidya-keer.com,02388010135,"14/675, Nair Nagar, Tadepalligudem-379768",12,3.94,medium,easy,low,bribery_corruption
Rajagopalan-Dora Foundation,bbalay@goyal-sule.info,01431809086,"H.No. 894, Roy Marg, Thrissur 209693",50,4.64,high,difficult,medium,consumer_rights|rent_eviction|dowry
Verma Inc Foundation,kamyaboase@dani-subramanian.net,01800794009,"65/529, Hans Marg, Asansol 124003",6,4.97,high,easy,low,cyber_crime|labor_rights_violation|FIR_denial|bribery_corruption
Dave PLC Foundation,chakradev98@ahuja.com,6688017390,"03/53, Chandra Zila, Nellore-498313",16,4.71,low,easy,high,rent_eviction|cyber_bullying|dowry
Hans LLC Foundation,anirudhlall@yadav.net,7235272759,"37/33, Deshpande Street, Hosur-028335",4,4.95,medium,difficult,medium,cyber_bullying
Randhawa-Arya Foundation,kwalla@jaggi.com,4855383130,"68, Gandhi Road, Kumbakonam 914090",29,4.71,high,easy,medium,cyber_bullying|child_custody|property_dispute
Bhalla Ltd Foundation,rayaanbuch@gupta.com,+910092647040,"03/074, Bansal Marg, Kharagpur-680866",26,4.57,low,difficult,low,harassment|dowry|labor_rights_violation
Brahmbhatt-Ravel Foundation,gaurikagopal@bansal.info,+917345513839,"H.No. 671, Gade, Madurai 402889",3,3.48,high,moderate,medium,child_custody|harassment|domestic_violence
Dass-Sinha Foundation,balishaan@hayre-palla.com,+919941537173,"H.No. 310, Rajagopal Circle, Mumbai 495038",16,4.13,medium,easy,low,property_dispute|bribery_corruption
Talwar-Mani Foundation,bathdiya@dani.com,2662635338,"H.No. 27, Murty Chowk, Ozhukarai 645211",29,4.14,low,difficult,medium,cyber_crime
Sridhar-Sabharwal Foundation,rehaanmaharaj@shankar-tara.com,+919992441804,"11/034, Kalita Street, Bally-646159",32,3.91,low,difficult,high,rent_eviction|cyber_crime|workplace_discrimination
Goyal Ltd Foundation,triyatandon@mitra.com,07345982688,"71, Manda Marg, Sasaram-450794",41,3.6,medium,easy,low,consumer_rights|child_custody
"Rege, Hayer and Kapur Foundation",odikarao@varughese.com,3499776400,"H.No. 05, Malhotra Circle, Serampore 167786",2,4.28,medium,moderate,high,bribery_corruption|dowry
Malhotra-Soman Foundation,gwagle@bhalla.com,08840103527,"H.No. 07, Dara Path, Hazaribagh-069644",24,4.83,high,easy,medium,workplace_discrimination|consumer_rights|child_custody|harassment
Naidu-Samra Foundation,hrajagopalan@mand.com,+917511067815,"03/15, Sundaram Ganj, Tiruvottiyur-265348",11,4.3,high,easy,medium,labor_rights_violation|bribery_corruption|consumer_rights|child_custody
Chhabra and Sons Foundation,smitra@karan-ranganathan.info,06420263256,"H.No. 91, Sarraf, Shivpuri 163245",14,3.55,low,easy,medium,dowry|labor_rights_violation
"Contractor, Nagar and Khare Foundation",gauravdada@nadkarni-dara.info,04708503264,"H.No. 20, Atwal Zila, Amaravati 369874",14,3.71,medium,easy,medium,harassment|labor_rights_violation
Mand Inc Foundation,nathan81@ratta.biz,+911180408583,"H.No. 254, Murthy Road, Hosur 935157",35,3.68,medium,easy,medium,child_custody|harassment|domestic_violence
Mitra LLC Foundation,aoommen@buch.com,+918491335740,"H.No. 60, Chana Road, Mumbai-806370",32,3.02,high,difficult,high,FIR_denial
"Lata, Sood and Bhavsar Foundation",samuelnagy@chopra-shan.com,5527919333,"74, Mahajan, Ichalkaranji 185065",5,4.14,high,easy,high,labor_rights_violation
Agrawal-Barman Foundation,raozaid@das.info,1346776721,"551, Bhardwaj Road, Munger 690860",25,3.2,high,moderate,high,cyber_crime|domestic_violence|property_dispute
Dara PLC Foundation,maniqarin@batra-krishna.biz,6548452990,"H.No. 824, Lad, Surendranagar Dudhrej 749315",33,4.35,high,difficult,medium,workplace_discrimination|harassment
Jayaraman Group Foundation,wahab60@badami.com,6411637800,"H.No. 47, Konda Street, Indore 054504",46,3.93,low,difficult,high,labor_rights_violation|workplace_discrimination|FIR_denial|cyber_bullying
"Puri, Sanghvi and Kulkarni Foundation",henry76@bhalla.com,00246201774,"41/16, Rau Marg, Phusro-908886",25,4.65,low,difficult,medium,labor_rights_violation|FIR_denial
Dhawan Ltd Foundation,mprasad@nagy-dey.com,5318938763,"H.No. 62, Bumb Path, Panihati 259663",27,4.19,medium,moderate,high,domestic_violence|consumer_rights|bribery_corruption|child_custody
Shan PLC Foundation,mallickvasana@shankar.com,01813262952,"H.No. 388, Kapadia Circle, Tinsukia 848499",46,4.49,low,moderate,low,dowry|property_dispute|rent_eviction|domestic_violence
"Kurian, Vora and Dayal Foundation",diya43@grewal-som.info,8068951399,"47/325, Edwin Marg, Unnao 700617",24,3.27,low,difficult,medium,labor_rights_violation
Bera-Sura Foundation,kritika59@radhakrishnan.info,+914858370311,"H.No. 196, Dua Marg, Karaikudi-167461",20,4.3,low,moderate,medium,consumer_rights|domestic_violence
Kala Inc Foundation,manimohammed@gaba.com,05076786532,"52/84, Palan Marg, Lucknow 833357",43,3.59,medium,difficult,low,FIR_denial
Buch and Sons Foundation,mannanraagini@comar-bhattacharyya.com,06623035208,"62/85, Desai Marg, Delhi-178648",18,4.15,high,moderate,medium,FIR_denial|harassment|rent_eviction
"Shenoy, Wason and Puri Foundation",chakradharsangha@sethi.info,09680694460,"97, Seshadri, Serampore 445385",37,4.05,medium,difficult,high,dowry|FIR_denial|consumer_rights
"Bail, Baria and Jain Foundation",gbajwa@narayanan.com,01630064094,"25, Pillai Street, Navi Mumbai 449053",16,4.8,low,difficult,high,property_dispute
Grover Inc Foundation,mammendalbir@bajaj-prabhu.com,9038581040,"H.No. 095, Sandhu Street, Salem 504022",47,4.06,high,moderate,low,harassment|domestic_violence|workplace_discrimination|cyber_bullying
Mander-Sangha Foundation,ranbir98@sridhar.com,04965745608,"39/135, Dhillon Ganj, Tadepalligudem 841369",30,4.33,high,easy,low,dowry|FIR_denial|consumer_rights|labor_rights_violation
Ghosh Inc Foundation,nagarajanprisha@patel.com,+914194317382,"H.No. 503, Sood Zila, Moradabad-754127",29,4.19,high,difficult,medium,cyber_crime|FIR_denial|harassment|property_dispute
Lal Ltd Foundation,yashodadugar@kumer-parmar.com,+917316703412,"H.No. 40, Kohli Circle, Pudukkottai 151466",12,3.92,medium,difficult,low,labor_rights_violation|rent_eviction|FIR_denial|property_dispute
Sachar-Memon Foundation,brindashenoy@ranganathan-sangha.com,+916705882728,"702, Singhal, Tirupati-665871",23,3.35,low,difficult,medium,rent_eviction|cyber_crime
Ravi PLC Foundation,ymody@deshmukh.net,00678602864,"488, Ganesan Marg, Kulti-699124",35,4.46,medium,difficult,low,FIR_denial
"Jani, Dhingra and Mohan Foundation",asoman@gara.net,03075036479,"H.No. 436, Vora, Agartala-713861",30,4.76,high,easy,medium,bribery_corruption
Mall-Amble Foundation,bsachdev@seshadri-choudhary.info,2101058432,"H.No. 90, Balasubramanian Path, Malda 540203",25,4.4,medium,difficult,high,cyber_bullying|consumer_rights|rent_eviction
Khalsa Inc Foundation,sathvikdhaliwal@wali.com,8257002971,"68/65, Sandal Marg, Kollam-442246",16,4.89,medium,moderate,low,harassment
Sen and Sons Foundation,tripti14@parmer.net,+910304400820,"595, Dhar, Bhagalpur-524350",35,4.59,low,difficult,low,workplace_discrimination
Palla-Panchal Foundation,indalipadmanabhan@dhawan-biswas.com,+914641085791,"55/989, Puri Ganj, Mumbai 503447",50,4.32,medium,difficult,medium,cyber_crime|child_custody
Das-Zachariah Foundation,mandalbaljiwan@hari.biz,8829763056,"H.No. 02, Baral Road, Purnia-973887",30,3.91,low,moderate,low,bribery_corruption
Sahota-Ramachandran Foundation,garima50@sandal.info,00269265226,"40, Bhatia Road, Korba-132004",19,4.73,medium,easy,low,bribery_corruption|dowry
Chhabra Group Foundation,urvipalan@kara-jani.com,3106953512,"73/089, Sami Path, Durgapur 024847",32,4.11,medium,moderate,high,domestic_violence|dowry
Nigam-Sha Foundation,bpillai@trivedi-bhasin.com,+916226356861,"80/384, Kala Circle, Bhagalpur-996945",11,3.62,medium,easy,low,child_custody|FIR_denial
Ghosh-Morar Foundation,fariqbali@amble-narayan.com,01919240474,"42/868, Raval Road, Ongole 775269",40,3.16,medium,difficult,low,dowry|child_custody|domestic_violence|rent_eviction
"Gour, Saran and Sangha Foundation",damyantinaik@jhaveri.com,+916038379566,"H.No. 66, Arya Street, Pimpri-Chinchwad 954338",9,4.72,high,difficult,low,cyber_crime
Desai Inc Foundation,chaitanya82@roy.com,+912510378882,"48/55, Deshmukh Ganj, Darbhanga 463769",2,4.42,low,difficult,high,workplace_discrimination
Puri-Deshpande Foundation,chandanibains@chatterjee-khanna.org,+919056268032,"51/34, Chatterjee Zila, Ramgarh 887219",25,4.25,medium,moderate,medium,cyber_crime|harassment
Shroff-Konda Foundation,prabhakarekaja@krish.com,+910421101771,"84/94, Karnik Chowk, Rajkot 586764",17,3.87,high,easy,low,harassment|cyber_crime|child_custody|domestic_violence
Datta Ltd Foundation,chadhaeiravati@butala.net,04638862148,"H.No. 79, Chakraborty Street, Farrukhabad-221505",29,3.85,medium,difficult,high,workplace_discrimination|property_dispute
Hegde-Ranganathan Foundation,qabil31@kulkarni.com,+915575017539,"636, Tandon Marg, Asansol-800869",33,4.87,high,easy,low,consumer_rights|child_custody|FIR_denial|dowry
Bala Group Foundation,peterkala@saran.biz,9765226076,"205, Dixit Circle, Bongaigaon 267989",28,3.88,high,easy,medium,dowry
Chhabra Group Foundation,narainsara@mangal.net,04716147527,"41/88, Nagy Road, Burhanpur 568735",14,3.32,high,moderate,medium,cyber_crime|domestic_violence
Sibal-Lad Foundation,tmagar@dhar-mukhopadhyay.com,2431265736,"H.No. 41, Manne Chowk, Ambarnath 153184",31,3.95,high,easy,medium,consumer_rights|cyber_crime
Krishnamurthy Group Foundation,patilkamya@dash-morar.org,02190415259,"H.No. 09, Mane Road, Anand 049034",8,4.35,high,easy,medium,workplace_discrimination
Grover-Vaidya Foundation,masonswamy@bawa-varma.com,+915735479006,"48, Parmer Marg, Shimla-182916",45,4.59,high,difficult,high,harassment
Verma-Devan Foundation,wazir56@wali-kothari.org,05506820999,"H.No. 670, Natarajan Chowk, Tenali-721369",28,3.38,high,difficult,medium,child_custody|cyber_crime|workplace_discrimination
"Bains, Vyas and Bhavsar Foundation",sarnajasmit@virk-kapur.biz,5000418653,"86, Parekh, Vijayawada-802020",20,3.4,medium,moderate,high,rent_eviction|consumer_rights|child_custody|cyber_crime
"Ahuja, Khalsa and Batta Foundation",wriddhishmishra@misra.net,+915582898396,"05, Kothari Nagar, Eluru 277596",2,3.17,medium,easy,medium,cyber_crime|rent_eviction|cyber_bullying|FIR_denial
Tara-Lanka Foundation,sarthak74@mandal.com,+914198985886,"41/043, Swamy Zila, Chapra 291240",15,3.14,medium,moderate,high,domestic_violence|FIR_denial|harassment|workplace_discrimination
"Bajwa, Bhat and Singhal Foundation",sakshamhans@swamy-parikh.info,04018631548,"33, Nayak Street, Burhanpur-924299",15,4.58,low,moderate,low,workplace_discrimination|domestic_violence|dowry|bribery_corruption
Mandal-Choudhry Foundation,hgola@tripathi.net,3643502515,"H.No. 653, Prasad Road, Patiala-699795",37,3.3,medium,moderate,medium,consumer_rights|dowry
"Sharma, Bhatnagar and Sarraf Foundation",chaitaly23@barad-rattan.biz,6252732555,"16, Shenoy Ganj, Khandwa-952788",49,4.62,low,moderate,medium,property_dispute|rent_eviction
Mitra and Sons Foundation,chhabranandini@rajagopal.com,8202540114,"78/93, Master Street, Kota-630120",20,3.88,high,difficult,medium,bribery_corruption|domestic_violence
Singhal-Thaman Foundation,garima58@dara.biz,0491073709,"H.No. 61, Srinivas Path, Nanded 966091",5,3.75,high,difficult,high,rent_eviction|dowry|consumer_rights
Peri PLC Foundation,naveengulati@sawhney.com,+910437826272,"35, Devan Street, Barasat-731187",50,4.0,low,moderate,high,consumer_rights|cyber_bullying|rent_eviction
"Ahluwalia, Bhargava and Sethi Foundation",udar@halder-mander.com,8793330302,"350, Sandal Marg, Tirunelveli 533791",47,4.82,high,easy,high,labor_rights_violation|workplace_discrimination|dowry|FIR_denial
Kurian-Patla Foundation,xaviermall@balan-rajan.com,+911818895656,"H.No. 215, Venkatesh Road, Sangli-Miraj & Kupwad 313037",31,3.12,high,easy,high,domestic_violence|cyber_bullying
"Lad, Oak and More Foundation",framan@shenoy-ram.com,+915243129984,"H.No. 38, Madan Ganj, Bihar Sharif-485184",36,4.09,medium,easy,medium,property_dispute
Oommen-Chaudhary Foundation,nbath@manne-merchant.com,5287387804,"53/84, Saxena Chowk, Tiruppur 106799",18,3.26,low,easy,high,workplace_discrimination|harassment|bribery_corruption
"Narang, Dhaliwal and Mahal Foundation",urvi76@basak-varkey.com,+911283996755,"555, Mann Ganj, Pondicherry-838501",15,4.61,high,easy,high,workplace_discrimination|child_custody
Wason LLC Foundation,oni46@ravel.org,2047687748,"H.No. 774, Roy Street, Varanasi 101508",20,4.63,high,easy,medium,cyber_crime|domestic_violence|property_dispute
Ramaswamy-Gour Foundation,zachariahaachal@bhandari-randhawa.info,+912140501491,"H.No. 87, Subramaniam, Gopalpur 615068",12,4.21,low,easy,low,labor_rights_violation|cyber_crime|bribery_corruption
Chaudry and Sons Foundation,aahana29@bath-chadha.com,05391480239,"17/39, Mody Path, Mau-272924",27,3.55,low,difficult,high,cyber_crime
Borra-Parsa Foundation,sidhuzayan@pandya.net,+918895986599,"H.No. 93, Nazareth Ganj, Junagadh-261452",34,3.94,high,easy,medium,dowry
Iyer LLC Foundation,amane@tank.com,6895589028,"04/75, Chokshi Chowk, Etawah 318974",4,3.66,medium,easy,high,property_dispute|rent_eviction
Lata Inc Foundation,mnagarajan@bakshi.biz,1750912628,"74, Sami Marg, Sambalpur-569605",37,4.87,high,easy,high,FIR_denial|bribery_corruption|rent_eviction
Acharya PLC Foundation,sahahredhaan@bava.com,+914224873764,"H.No. 978, Narayanan Street, Cuttack-634950",9,4.66,low,easy,high,child_custody|harassment|cyber_crime
"Gill, Luthra and Mitter Foundation",rameshupadhriti@sengupta-thaker.com,+912746025606,"62, Banik Circle, Ahmednagar-023541",38,4.72,high,difficult,low,rent_eviction|bribery_corruption|domestic_violence
